INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,gt_25k_05_p6
Southeast Arkansas College,Pine Bluff,AR,1,1,13.0,,,,,,,,,0.0,1415.0,0.3618,0.617,0.0099,0.0057,0.0057,0.0,0.0,0.0,0.0,0.4212,5233.0,,0.5864,,0.4525,,0.2143,0.7236,0.4916,8300,92.147015,0.42,,0.29374458,26700.0,0.417489409,0.0
Le Cordon Bleu College of Culinary Arts-St Louis,St Peters,MO,1,3,21.0,,,,,,,,,0.0,302.0,0.7119,0.2318,0.0033,0.0199,0.0,0.0033,0.0033,0.0,0.0265,0.0,,20224.0,0.4439,,0.6935,,,0.5807,0.5,11250,124.8980625,0.355487089,,0.730783654,29000.0,0.513698637,1.0
SUNY College at Geneseo,Geneseo,NY,3,1,32.0,635.0,650.0,,28.0,,,,1274.0,0.0,5463.0,0.7516,0.0291,0.0619,0.0659,0.0022,0.0007,0.0245,0.0238,0.0403,0.0207,16902.0,,0.2269,0.9025,,0.5,,0.4918,0.0242,20500,227.592025,0.938313526,0.785593501,,46700.0,0.719901741,1.0
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5580,61.949439,0.432646593,,,25700.0,0.409822881,0.0
Mildred Elley School-Albany Campus,Albany,NY,1,3,13.0,,,,,,,,,0.0,902.0,0.3747,0.3758,0.0754,0.0089,0.0033,0.0022,0.0,0.0011,0.1585,0.0033,,15610.0,0.7881,,0.5302,,,0.845,0.6936,18130,201.2801665,0.375379939,,0.432411486,22100.0,0.355677158,0.0
The Illinois Institute of Art-Schaumburg,Schaumburg,IL,3,3,13.0,,,,,,,,,0.0,1066.0,0.1801,0.0169,0.1801,0.0141,0.0,0.0019,0.0038,0.0009,0.6023,0.2458,,24694.0,0.5162,0.5704,,0.3462,,0.8437,0.2852,27666.5,307.1548663,0.558731904,0.439868915,,34900.0,0.521193743,1.0
ITT Technical Institute-Lexington,Lexington,KY,2,3,11.0,,,,,,,,,0.0,242.0,0.6405,0.2686,0.0248,0.0041,0.0124,0.0041,0.0248,0.0,0.0207,0.2521,,23641.0,0.8037,,,,,0.8148,0.6612,25833.5,286.8048087,0.394119686,0.242576923,,38400.0,0.591855824,1.0
University of California-Santa Cruz,Santa Cruz,CA,3,1,13.0,540.0,555.0,540.0,23.0,23.0,24.0,,1087.0,0.0,15695.0,0.368,0.0201,0.3019,0.2047,0.0017,0.0015,0.0698,0.0108,0.0215,0.0237,15107.0,,0.4459,0.8879,,0.6,,0.5586,0.0447,19737.5,219.1267119,0.895321789,0.735264493,,44600.0,0.587244689,1.0
Williams College,Williamstown,MA,3,2,31.0,725.0,720.0,730.0,32.0,,,,1439.0,0.0,2051.0,0.5651,0.0775,0.1214,0.1053,0.0029,0.0,0.0609,0.0668,0.0,0.0,,20935.0,0.1903,0.9799,,,,0.2478,0.0052,12005,133.2801103,0.962025316,0.958969776,,58100.0,0.659388661,1.0
Aveda Institute-Chicago,Chicago,IL,1,3,11.0,,,,,,,,,0.0,183.0,0.5956,0.1749,0.1803,0.0219,0.0,0.0,0.0219,0.0,0.0055,0.0,,17512.0,0.4636,,0.8986,,,0.6394,0.3169,9833,109.1664577,0.848484848,,0.8601,,,
Colgate University,Hamilton,NY,3,2,32.0,670.0,695.0,,31.0,32.0,31.0,,1370.0,0.0,2872.0,0.6779,0.0425,0.0787,0.0327,0.0021,0.0014,0.0359,0.0843,0.0446,0.0003,,17711.0,0.1154,0.9312,,,,0.2698,0.0014,15625,173.4695313,0.950520833,0.902504102,,61500.0,0.770764112,1.0
University of Phoenix-Southern California Campus,Costa Mesa,CA,3,3,12.0,,,,,,,,,0.0,8302.0,0.1356,0.1143,0.2815,0.0328,0.0022,0.0118,0.0222,0.0185,0.3811,0.0,,20109.0,0.5458,0.6805,,,,0.5867,0.8148,35500,394.122775,0.406534043,0.159209737,,53400.0,0.705231071,1.0
Hudson Valley Community College,Troy,NY,2,1,13.0,,,,,,,,,0.0,9017.0,0.7526,0.1211,0.0579,0.0424,0.0138,0.0032,0.0,0.005,0.0041,0.2741,8761.0,,0.2956,,0.5665,,0.4395,0.2901,0.2656,11650,129.3388825,0.642153644,,0.291657611,36200.0,0.557725966,1.0
Colby-Sawyer College,New London,NH,3,2,42.0,,,,,,,,,0.0,1395.0,0.6323,0.0538,0.0287,0.01,0.0022,0.0014,0.0065,0.1161,0.1491,0.0065,,22644.0,0.3355,0.7362,,,,0.7576,0.0142,27000,299.75535,0.879464286,0.556723735,,38600.0,0.719298244,1.0
Nova Academy of Cosmetology,Rochester,MN,1,3,12.0,,,,,,,,,0.0,84.0,0.7976,0.0476,0.0714,0.0476,0.0,0.0,0.0238,0.0,0.0119,0.11900000000000001,,14278.0,0.6101,,0.8462,,0.75,0.7358,0.3333,9999,111.009398,,,0.983033898,,,
Monroe County Community College,Monroe,MI,2,1,41.0,,,,,,,,,0.0,2285.0,0.7611,0.0442,0.0276,0.0079,0.0053,0.0009,0.0004,0.0013,0.1514,0.6354,3733.0,,0.3736,,0.5055,,0.3892,0.2181,0.3185,11500,127.673575,0.634920635,,0.214747036,26400.0,0.468208104,0.0
Coleman University,San Diego,CA,2,2,11.0,,,,,,,,,0.0,532.0,0.5056,0.0883,0.1805,0.1335,0.0019,0.0094,0.0056,0.0075,0.0677,0.1861,,26043.0,0.4873,,,,,0.6057,0.7143,29177,323.9245129,0.657676349,0.548745122,,49200.0,0.682634711,1.0
Morningside College,Sioux City,IA,3,2,13.0,,,,23.0,23.0,22.0,7.0,1050.0,0.0,1267.0,0.8374,0.0126,0.0537,0.0079,0.0047,0.0024,0.0237,0.0158,0.0418,0.0213,,18682.0,0.3527,0.7326,,,,0.7934,0.0636,27000,299.75535,0.895863053,0.583862581,,35600.0,0.697247684,1.0
Lafayette Beauty Academy,Lafayette,IN,1,3,13.0,,,,,,,,,0.0,82.0,0.8171,0.0732,0.0976,0.0122,0.0,0.0,0.0,0.0,0.0,0.2561,,8051.0,0.3504,,1.0,,,0.1538,0.2195,,,,,0.808487234,,,
University of Phoenix-Sacramento Valley Campus,Sacramento,CA,3,3,11.0,,,,,,,,,0.0,2791.0,0.2286,0.1369,0.1659,0.0534,0.0057,0.0301,0.0305,0.0222,0.3268,0.0,,19325.0,0.568,0.6471,,,,0.6508,0.8072,35500,394.122775,0.406534043,0.172134711,,53400.0,0.705231071,1.0
